permno,adate,qdate,public_date,pe_exi,TICKER
86868,2019-12-31,2020-06-30,2020-09-30,15.295,GS
86868,2019-12-31,2020-06-30,2020-10-31,14.387,GS
86868,2019-12-31,2020-09-30,2020-11-30,13.298,GS
86868,2019-12-31,2020-09-30,2020-12-31,15.208,GS
86868,2019-12-31,2020-09-30,2021-01-31,15.638,GS
86868,2020-12-31,2020-12-31,2021-02-28,12.914,GS
86868,2020-12-31,2020-12-31,2021-03-31,13.217,GS
86868,2020-12-31,2020-12-31,2021-04-30,14.084,GS
86868,2020-12-31,2021-03-31,2021-05-31,9.257,GS
86868,2020-12-31,2021-03-31,2021-06-30,9.443,GS
86868,2020-12-31,2021-03-31,2021-07-31,9.328,GS
86868,2020-12-31,2021-06-30,2021-08-31,7.560,GS
86868,2020-12-31,2021-06-30,2021-09-30,6.911,GS
86868,2020-12-31,2021-06-30,2021-10-31,7.557,GS
86868,2020-12-31,2021-09-30,2021-11-30,6.280,GS
86868,2020-12-31,2021-09-30,2021-12-31,6.305,GS
86868,2020-12-31,2021-09-30,2022-01-31,5.846,GS
86868,2021-12-31,2021-12-31,2022-02-28,5.741,GS
86868,2021-12-31,2021-12-31,2022-03-31,5.553,GS
86868,2021-12-31,2021-12-31,2022-04-30,5.139,GS
86868,2021-12-31,2022-03-31,2022-05-31,6.344,GS
86868,2021-12-31,2022-03-31,2022-06-30,5.765,GS
86868,2021-12-31,2022-03-31,2022-07-31,6.471,GS
86868,2021-12-31,2022-06-30,2022-08-31,7.525,GS
86868,2021-12-31,2022-06-30,2022-09-30,6.629,GS
86868,2021-12-31,2022-06-30,2022-10-31,7.793,GS
86868,2021-12-31,2022-09-30,2022-11-30,10.292,GS
86868,2021-12-31,2022-09-30,2022-12-31,9.152,GS
86964,2009-09-30,2009-09-30,2010-01-31,43.360,FFIV
86964,2009-09-30,2009-12-31,2010-02-28,44.640,FFIV
86964,2009-09-30,2009-12-31,2010-03-31,49.304,FFIV
86964,2009-09-30,2009-12-31,2010-04-30,54.744,FFIV
86964,2009-09-30,2010-03-31,2010-05-31,49.528,FFIV
86964,2009-09-30,2010-03-31,2010-06-30,48.289,FFIV
86964,2009-09-30,2010-03-31,2010-07-31,61.852,FFIV
86964,2009-09-30,2010-06-30,2010-08-31,53.638,FFIV
86964,2009-09-30,2010-06-30,2010-09-30,63.687,FFIV
86964,2009-09-30,2010-06-30,2010-10-31,72.209,FFIV
86964,2010-09-30,2010-09-30,2010-11-30,70.903,FFIV
86964,2010-09-30,2010-09-30,2010-12-31,69.978,FFIV
86964,2010-09-30,2010-09-30,2011-01-31,58.269,FFIV
86964,2010-09-30,2010-12-31,2011-02-28,54.133,FFIV
86964,2010-09-30,2010-12-31,2011-03-31,47.050,FFIV
86964,2010-09-30,2010-12-31,2011-04-30,46.495,FFIV
86964,2010-09-30,2011-03-31,2011-05-31,46.359,FFIV
86964,2010-09-30,2011-03-31,2011-06-30,45.000,FFIV
86964,2010-09-30,2011-03-31,2011-07-31,38.155,FFIV
86964,2010-09-30,2011-06-30,2011-08-31,29.989,FFIV
86964,2010-09-30,2011-06-30,2011-09-30,26.121,FFIV
86964,2010-09-30,2011-06-30,2011-10-31,38.217,FFIV
86964,2011-09-30,2011-09-30,2011-11-30,38.186,FFIV
86964,2011-09-30,2011-09-30,2011-12-31,35.851,FFIV
86964,2011-09-30,2011-09-30,2012-01-31,40.453,FFIV
86964,2011-09-30,2011-12-31,2012-02-29,40.051,FFIV
86964,2011-09-30,2011-12-31,2012-03-31,43.256,FFIV
86964,2011-09-30,2011-12-31,2012-04-30,42.926,FFIV
86964,2011-09-30,2012-03-31,2012-05-31,31.358,FFIV
86964,2011-09-30,2012-03-31,2012-06-30,30.170,FFIV
86964,2011-09-30,2012-03-31,2012-07-31,28.297,FFIV
86964,2011-09-30,2012-06-30,2012-08-31,28.340,FFIV
86964,2011-09-30,2012-06-30,2012-09-30,30.419,FFIV
